DATE;IN_HOSPITAL
15/03/2020;266
16/03/2020;370
17/03/2020;497
18/03/2020;650
19/03/2020;844
20/03/2020;1101
21/03/2020;1384
22/03/2020;1646
23/03/2020;1883
24/03/2020;2140
25/03/2020;2721
26/03/2020;3077
27/03/2020;3650
28/03/2020;4089
29/03/2020;4480
30/03/2020;4897
31/03/2020;4989
1/04/2020;5220
2/04/2020;5383
3/04/2020;5513
4/04/2020;5531
5/04/2020;5620
6/04/2020;5759
7/04/2020;5715
8/04/2020;5616
9/04/2020;5636
10/04/2020;5659
11/04/2020;5437
12/04/2020;5441
13/04/2020;5554
14/04/2020;5532
15/04/2020;5331
16/04/2020;5181
17/04/2020;5088
18/04/2020;4892
19/04/2020;4940
20/04/2020;4996
21/04/2020;4765
22/04/2020;4527
23/04/2020;4355
24/04/2020;4195
25/04/2020;3957
26/04/2020;3968
27/04/2020;3976
28/04/2020;3733
29/04/2020;3609
30/04/2020;3386
1/05/2020;3109
2/05/2020;3080
3/05/2020;3044
4/05/2020;3082
5/05/2020;2868
6/05/2020;2699
7/05/2020;2555
8/05/2020;2381
9/05/2020;2222
10/05/2020;2222
11/05/2020;2230
12/05/2020;2085
13/05/2020;1966
14/05/2020;1862
15/05/2020;1750
16/05/2020;1625
17/05/2020;1614
18/05/2020;1630
19/05/2020;1527
20/05/2020;1448
21/05/2020;1388
22/05/2020;1360
23/05/2020;1296
24/05/2020;1306
25/05/2020;1304
26/05/2020;1150
27/05/2020;1050
28/05/2020;939
29/05/2020;892
30/05/2020;824
31/05/2020;818
1/06/2020;821
2/06/2020;821
3/06/2020;739
4/06/2020;702
5/06/2020;647
6/06/2020;573
7/06/2020;576
8/06/2020;575
9/06/2020;527
10/06/2020;484
11/06/2020;479
12/06/2020;425
13/06/2020;395
14/06/2020;400
15/06/2020;393
16/06/2020;371
17/06/2020;344
18/06/2020;339
19/06/2020;308
20/06/2020;292
21/06/2020;295
22/06/2020;293
23/06/2020;281
24/06/2020;268
25/06/2020;256
26/06/2020;247
27/06/2020;237
28/06/2020;237
29/06/2020;244
30/06/2020;222
1/07/2020;203
2/07/2020;187
3/07/2020;168
4/07/2020;170
5/07/2020;170
6/07/2020;169
7/07/2020;178
8/07/2020;165
9/07/2020;160
10/07/2020;143
11/07/2020;132
12/07/2020;130
13/07/2020;138
14/07/2020;147
15/07/2020;150
16/07/2020;147
17/07/2020;145
18/07/2020;161
19/07/2020;168
20/07/2020;181
21/07/2020;172
22/07/2020;191
23/07/2020;203
24/07/2020;218
25/07/2020;210
26/07/2020;211
27/07/2020;222
28/07/2020;232
29/07/2020;263
30/07/2020;267
31/07/2020;253
1/08/2020;259
2/08/2020;271
3/08/2020;290
4/08/2020;265
5/08/2020;293
6/08/2020;278
7/08/2020;285
8/08/2020;281
9/08/2020;285
10/08/2020;312
11/08/2020;307
12/08/2020;301
13/08/2020;309
14/08/2020;312
15/08/2020;309
16/08/2020;337
17/08/2020;341
18/08/2020;335
19/08/2020;334
20/08/2020;303
21/08/2020;314
22/08/2020;310
23/08/2020;312
24/08/2020;320
25/08/2020;282
26/08/2020;260
27/08/2020;257
28/08/2020;252
29/08/2020;230
30/08/2020;233
31/08/2020;243
1/09/2020;226
2/09/2020;221
3/09/2020;209
4/09/2020;215
5/09/2020;215
6/09/2020;223
7/09/2020;235
8/09/2020;260
9/09/2020;250
10/09/2020;249
11/09/2020;254
12/09/2020;260
13/09/2020;293
14/09/2020;318
15/09/2020;315
16/09/2020;353
17/09/2020;371
18/09/2020;392
19/09/2020;421
20/09/2020;432
21/09/2020;490
22/09/2020;505
23/09/2020;550
24/09/2020;602
25/09/2020;620
26/09/2020;626
27/09/2020;654
28/09/2020;708
29/09/2020;716
30/09/2020;739
1/10/2020;771
2/10/2020;789
3/10/2020;819
4/10/2020;866
5/10/2020;937
6/10/2020;952
7/10/2020;1050
8/10/2020;1110
9/10/2020;1191
10/10/2020;1260
11/10/2020;1334
12/10/2020;1473
13/10/2020;1622
14/10/2020;1778
15/10/2020;1951
16/10/2020;2099
17/10/2020;2267
18/10/2020;2497
19/10/2020;2773
20/10/2020;2978
21/10/2020;3275
22/10/2020;3649
23/10/2020;4056
24/10/2020;4408
25/10/2020;4825
26/10/2020;5268
27/10/2020;5548
28/10/2020;5924
29/10/2020;6187
30/10/2020;6439
31/10/2020;6502
1/11/2020;6824
2/11/2020;7233
3/11/2020;7461
4/11/2020;7411
5/11/2020;7290
6/11/2020;7224
7/11/2020;6895
8/11/2020;6955
9/11/2020;7221
10/11/2020;7058
11/11/2020;6879
12/11/2020;7010
13/11/2020;6762
14/11/2020;6505
15/11/2020;6518
16/11/2020;6580
17/11/2020;6240
18/11/2020;5930
19/11/2020;5651
20/11/2020;5418
21/11/2020;5017
22/11/2020;5025
23/11/2020;5076
24/11/2020;4783
25/11/2020;4570
26/11/2020;4376
27/11/2020;4215
28/11/2020;3994
29/11/2020;3989
30/11/2020;4014
1/12/2020;3707
2/12/2020;3590
3/12/2020;3417
4/12/2020;3348
5/12/2020;3163
6/12/2020;3210
7/12/2020;3272
8/12/2020;3136
9/12/2020;3034
10/12/2020;2961
11/12/2020;2896
12/12/2020;2770
13/12/2020;2861
14/12/2020;2888
15/12/2020;2772
16/12/2020;2707
17/12/2020;2683
18/12/2020;2616
19/12/2020;2523
20/12/2020;2538
21/12/2020;2610
