DATE;IN_HOSPITAL
27/02/2020;3
28/02/2020;3
29/02/2020;2
1/03/2020;9
2/03/2020;10
3/03/2020;11
4/03/2020;13
5/03/2020;12
6/03/2020;19
7/03/2020;9
8/03/2020;22
9/03/2020;31
10/03/2020;34
11/03/2020;48
12/03/2020;72
13/03/2020;84
14/03/2020;74
15/03/2020;90
16/03/2020;168
17/03/2020;165
18/03/2020;212
19/03/2020;301
20/03/2020;308
21/03/2020;252
22/03/2020;283
23/03/2020;506
24/03/2020;493
25/03/2020;508
26/03/2020;499
27/03/2020;624
28/03/2020;351
29/03/2020;298
30/03/2020;503
31/03/2020;362
1/04/2020;340
2/04/2020;392
3/04/2020;367
4/04/2020;209
5/04/2020;255
6/04/2020;343
7/04/2020;226
8/04/2020;234
9/04/2020;204
10/04/2020;222
11/04/2020;139
12/04/2020;153
13/04/2020;178
14/04/2020;174
15/04/2020;124
16/04/2020;124
17/04/2020;141
18/04/2020;78
19/04/2020;84
20/04/2020;112
21/04/2020;112
22/04/2020;90
23/04/2020;97
24/04/2020;81
25/04/2020;51
26/04/2020;44
27/04/2020;64
28/04/2020;88
29/04/2020;52
30/04/2020;67
1/05/2020;50
2/05/2020;31
3/05/2020;39
4/05/2020;58
5/05/2020;26
6/05/2020;55
7/05/2020;44
8/05/2020;58
9/05/2020;30
10/05/2020;23
11/05/2020;47
12/05/2020;22
13/05/2020;33
14/05/2020;25
15/05/2020;30
16/05/2020;20
17/05/2020;28
18/05/2020;35
19/05/2020;17
20/05/2020;27
21/05/2020;11
22/05/2020;31
23/05/2020;13
24/05/2020;18
25/05/2020;31
26/05/2020;26
27/05/2020;15
28/05/2020;13
29/05/2020;20
30/05/2020;19
31/05/2020;12
1/06/2020;15
2/06/2020;21
3/06/2020;14
4/06/2020;11
5/06/2020;10
6/06/2020;4
7/06/2020;7
8/06/2020;12
9/06/2020;9
10/06/2020;5
11/06/2020;11
12/06/2020;9
13/06/2020;3
14/06/2020;3
15/06/2020;5
16/06/2020;9
17/06/2020;5
18/06/2020;5
19/06/2020;4
20/06/2020;3
21/06/2020;4
22/06/2020;9
23/06/2020;2
24/06/2020;6
25/06/2020;7
26/06/2020;1
27/06/2020;2
28/06/2020;4
29/06/2020;5
30/06/2020;3
1/07/2020;4
2/07/2020;4
3/07/2020;4
4/07/2020;1
5/07/2020;1
6/07/2020;3
7/07/2020;4
8/07/2020;5
9/07/2020;4
10/07/2020;4
11/07/2020;1
12/07/2020;2
13/07/2020;4
14/07/2020;5
15/07/2020;2
16/07/2020;2
17/07/2020;5
18/07/2020;6
19/07/2020;8
20/07/2020;3
21/07/2020;5
22/07/2020;4
23/07/2020;9
24/07/2020;10
25/07/2020;10
26/07/2020;4
27/07/2020;9
28/07/2020;10
29/07/2020;3
30/07/2020;17
31/07/2020;13
